train_loss,train_f1
0.05236472551594037,0.4585261228093874
0.01923085338005948,0.7391471554073418
0.015526783601398957,0.7896228834683459
0.013768631116129255,0.8153311113661518
0.012329407995940218,0.8345445237087958
0.011362166794554306,0.8449051786322432
0.010570964205499262,0.8579863608431949
0.009976289126923233,0.866933359270802
0.009458587714561284,0.8739921785727706
0.008985354254241518,0.8804032293201349
0.008469237874287336,0.8869828968370169
0.008195135462306257,0.8903455895264977
0.008016476515176939,0.8949348987695208
0.007773973457069458,0.8989535022569504
0.007351819404435825,0.9031455189252856
