train_loss,train_f1
0.06327084635407272,0.3995253911610197
0.02032131668876611,0.7220797404954316
0.016105863373524196,0.7800265049691012
0.013951522715023465,0.8101094975891956
0.012623193849090194,0.830174799301508
0.011645648706786306,0.8440329187292087
0.011079127065365095,0.8543493951193443
0.010194186973933704,0.8659425737750098
0.009554103560526439,0.8702656724128438
0.0090907488974898,0.8793940491033944
0.008844657441454169,0.8831377129200435
0.008420933144622486,0.8898204458653317
0.008060887483349806,0.8947834111329548
0.007690223904668726,0.8983607045957751
0.007483098001121742,0.9032621470443527
