train_loss,train_f1
1.5246469544039831,0.025702555538170337
0.48831674373812145,0.014969906715485185
0.35861966345045304,0.014662270218837085
0.3198593275414573,0.02350439404113797
0.2951376438140869,0.042999275682205504
0.2756175394687388,0.0963406348831327
0.2628256471620666,0.13904176532996007
0.2475212017695109,0.18568279093103654
0.23937254564629662,0.21896852446549941
0.2268915507528517,0.22865387602965181
0.21999186111821067,0.2754369920872612
0.20720631753404936,0.29671279737232026
0.20638364843196338,0.3184330887683116
0.20006856280896398,0.3421487891148103
0.1925391567250093,0.35025014087690126
