train_loss,train_f1
0.0558557333209864,0.33050791718372335
0.0321346928531069,0.5364990187996342
0.027884581483890437,0.595814830736952
0.025287797698546378,0.6289541456251146
0.023891953373608384,0.6486762636761787
0.022688990758335168,0.6684351437436404
0.021929914445150012,0.6823891407611967
0.020762090160532917,0.6942292077375415
0.020367605562398926,0.7023151957812456
0.01962779174916436,0.7137898636037844
0.018919594738799245,0.7211982178399892
0.01856380789332203,0.7276920588778691
0.01796770750404698,0.7343319541106565
0.017656261186662612,0.7419442881460533
0.01742383896081305,0.7432368276440561
