train_loss,train_f1
0.08400238405329984,0.21927934657701095
0.042615752028636295,0.4730321487451038
0.034009509766896054,0.5525896741989397
0.030679828805407993,0.5949040936477807
0.0278453302448001,0.6219461491395719
0.02567099770205758,0.6430071823716391
0.02414481361838778,0.661706767067019
0.02286407520288522,0.6751131795230734
0.021814852008381607,0.6876648252923349
0.020780160568924417,0.7004368942595124
0.01995719064215022,0.7102340346400826
0.019241507821758538,0.7189360574845343
0.01858419327867756,0.7258273223668877
0.01807660759664002,0.7312182534520707
0.017467953787000914,0.7398447432158051
