train_loss,train_f1
0.4031369955175453,0.009566763032349372
0.3158085205488735,0.014434990582406616
0.2942393140660392,0.030888999005290366
0.27113980137639576,0.08874173235476755
0.24794846110873753,0.1681997754124468
0.22869095620181826,0.2304261663690107
0.21666737563080257,0.2702712940670152
0.202703303967913,0.32474685375021967
0.18278717953297827,0.3602532681380823
0.17890331852767202,0.38031295948093485
0.1704888701852825,0.4058366183987632
0.1548438941438993,0.4361035176716575
0.15106310115920174,0.44949921827829153
0.14010082578493488,0.47511652934388604
0.13211905459562936,0.497522113751431
