train_loss,train_f1
0.42732448213630253,0.01365370234742893
0.30227739322516656,0.06730234671813796
0.2622382529079914,0.1688873052703218
0.22981169405910704,0.2527040399543308
0.20804720268481308,0.2983707077087145
0.19613992836740282,0.35261732143273505
0.18535123537811968,0.37962805735680016
0.17060624414847958,0.40972778100723567
0.1577005558129814,0.4500860861714799
0.1442587859928608,0.4766374302843024
0.13423381580246818,0.5067231715516028
0.1287362918050753,0.5281316703594523
0.12030361944602595,0.554939001833699
0.11126452715446551,0.5674217198155052
0.10215474551336633,0.6050404481976797
