train_loss,train_f1
0.07074875706904812,0.2617158871967073
0.04053243722374502,0.45086096607172227
0.03471536392640126,0.5122785404489726
0.03125798486957425,0.5512254846863789
0.029150921580822844,0.5789568375862608
0.027487136390256253,0.602538040901522
0.026400978252487748,0.6152251054875306
0.02527813543810656,0.6316126778353475
0.024419169518116273,0.6445294713915376
0.023951380555763055,0.651240386275271
0.02291278278651206,0.6632221300567758
0.02261852749868443,0.669018252480837
0.021766134796566083,0.6797904797283846
0.02118675474371565,0.6874520939765201
0.020992634845407386,0.6920411534319705
