train_loss,train_f1
0.08703667573139245,0.15636719543647443
0.0510747306395857,0.3542099209680397
0.044572669347654185,0.41846690316002944
0.04132155424892363,0.45609927766331954
0.039527760180048305,0.48265351802354695
0.03763378493940846,0.5027694870945927
0.03656449218076999,0.518571695991728
0.03545880655759288,0.531923043752916
0.03409472187887034,0.5444096744420825
0.03318469210818198,0.5553770440134858
0.0327654008790947,0.5638863531310333
0.03189324226861706,0.5727485024755842
0.031221367748885537,0.5794991639908383
0.030812416331695555,0.5872472207288192
0.03017682094551035,0.5929544443790122
