train_loss,train_f1
0.08361976619408958,0.18820831809304894
0.0424975648414267,0.4036276723850589
0.036261623238800084,0.4696890433948937
0.032295370267246916,0.5126201983074372
0.030329421803382245,0.5388754476070124
0.028645945351431203,0.5605813499794103
0.02753418842229222,0.5785467834022225
0.02678320409917017,0.5920133590811262
0.025615867012222054,0.6054797636629408
0.02484294688362885,0.6152356128393794
0.0239542422403988,0.6276768058002966
0.023452326868229435,0.6335515918361304
0.02277630782531892,0.6431029426460678
0.022460035469603727,0.6488152141155858
0.021556793519508594,0.6587342617207159
