train_loss,train_f1
0.060783683316345975,0.2851201052153569
0.039831031896993226,0.4530891511421147
0.034912031683661186,0.5046078451846673
0.03228975653547172,0.5407128341293028
0.030264872600978668,0.5646405692004238
0.028556846300282192,0.5866940270243933
0.027310722606331304,0.6014249095247741
0.02672355961449743,0.614325504079569
0.02533515644552521,0.6283306708352451
0.024585091857116714,0.6369029797649467
0.02445653160458086,0.6447222283102255
0.023256832995195362,0.6564812098887297
0.022989428850351067,0.6617499648770795
0.02230818502070023,0.670116672097611
0.02189986770105142,0.676592658523637
