train_loss,train_f1
0.08816051556407095,0.2059255268116877
0.04934527142814338,0.3656687526011049
0.044645635172589786,0.40392173346427096
0.042304719399472876,0.42563053265812667
0.04099772695842335,0.442434965454846
0.03962173008806955,0.45647215068496566
0.038721131464468865,0.4665969698086881
0.03799143980316249,0.4765351019863004
0.03700139311131422,0.4857282651950587
0.03606271869075252,0.49502157628052174
0.035919072019733864,0.5003740141734221
0.034798632625292834,0.5054940803156531
0.03456148334368003,0.5124304075403884
0.034370922544949424,0.5161648136363555
0.033386157960528545,0.523919906851974
