train_loss,train_f1
0.37709516369634205,0.014649183101168424
0.3105101270808114,0.0376114363495232
0.27389152099688846,0.09734088634290966
0.2442363840010431,0.21192221119482832
0.2105457882086436,0.29053487692543384
0.1916392743587494,0.362378886365083
0.1731218078898059,0.4125189789169321
0.15964683579901853,0.4449034058488624
0.14775653990606466,0.4789125811576016
0.1337337421460284,0.5108451739699373
0.12638520573576292,0.5336081696683439
0.11602216969347662,0.5544307579222755
0.10498378436184591,0.5821879354456045
0.10113603031883638,0.6188942733195552
0.09175496144841115,0.6263948302381296
